host_response_rate;host_is_superhost;host_listings_count;host_has_profile_pic;host_identity_verified;is_location_exact;accommodates;bathrooms;bedrooms;beds;price;security_deposit;cleaning_fee;guests_included;extra_people;minimum_nights;maximum_nights;availability_30;availability_60;availability_90;availability_365;number_of_reviews;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;instant_bookable;require_guest_profile_picture;require_guest_phone_verification;calculated_host_listings_count;reviews_per_month;Cats;Other pets;FamilyKid Friendly;Shampoo;Washer;Hair Dryer;Pets Allowed;Breakfast;Iron;Carbon Monoxide Detector;Hangers;24Hour Checkin;Cable TV;Smoke Detector;TV;Hot Tub;First Aid Kit;Pets live on this property;Gym;Dryer;Free Parking on Premises;Smoking Allowed;Heating;Lock on Bedroom Door;Internet;Air Conditioning;BuzzerWireless Intercom;Doorman;Laptop Friendly Workspace;Pool;Essentials;Safety Card;Suitable for Events;Fire Extinguisher;Washer  Dryer;Wireless Internet;Kitchen;Dogs;Elevator in Building;Indoor Fireplace;Wheelchair Accessible;host_response_time_within a day;host_response_time_within a few hours;host_response_time_within an hour;neighbourhood_group_cleansed_Beacon Hill;neighbourhood_group_cleansed_Capitol Hill;neighbourhood_group_cleansed_Cascade;neighbourhood_group_cleansed_Central Area;neighbourhood_group_cleansed_Delridge;neighbourhood_group_cleansed_Downtown;neighbourhood_group_cleansed_Interbay;neighbourhood_group_cleansed_Lake City;neighbourhood_group_cleansed_Magnolia;neighbourhood_group_cleansed_Northgate;neighbourhood_group_cleansed_Other neighborhoods;neighbourhood_group_cleansed_Queen Anne;neighbourhood_group_cleansed_Rainier Valley;neighbourhood_group_cleansed_Seward Park;neighbourhood_group_cleansed_University District;neighbourhood_group_cleansed_West Seattle;zipcode_98102;zipcode_98103;zipcode_98104;zipcode_98105;zipcode_98106;zipcode_98107;zipcode_98108;zipcode_98109;zipcode_98112;zipcode_98115;zipcode_98116;zipcode_98117;zipcode_98118;zipcode_98119;zipcode_98121;zipcode_98122;zipcode_98125;zipcode_98126;zipcode_98133;zipcode_98134;zipcode_98136;zipcode_98144;zipcode_98146;zipcode_98177;zipcode_98178;zipcode_98199;"zipcode_99
98122";property_type_Bed & Breakfast;property_type_Boat;property_type_Bungalow;property_type_Cabin;property_type_Camper/RV;property_type_Chalet;property_type_Condominium;property_type_Dorm;property_type_House;property_type_Loft;property_type_Other;property_type_Tent;property_type_Townhouse;property_type_Treehouse;property_type_Yurt;room_type_Private room;room_type_Shared room;bed_type_Couch;bed_type_Futon;bed_type_Pull-out Sofa;bed_type_Real Bed;cancellation_policy_moderate;cancellation_policy_strict
0.96;0;3.0;1;1;1;4;1.0;1.0;1.0;85.0;0.0;0.0;2;5.0;1;365;14;41;71;346;207;95.0;10.0;10.0;10.0;10.0;9.0;10.0;0;0;0;2;4.07;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
0.98;1;6.0;1;1;1;4;1.0;1.0;1.0;150.0;100.0;40.0;1;0.0;2;90;13;13;16;291;43;96.0;10.0;10.0;10.0;10.0;10.0;10.0;0;1;1;6;1.48;0;0;1;0;1;0;0;0;0;1;0;0;0;1;1;0;1;0;0;1;1;0;1;0;1;0;1;0;0;0;1;1;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
0.67;0;2.0;1;1;1;11;4.5;5.0;7.0;975.0;1000.0;300.0;10;25.0;4;30;1;6;17;220;20;97.0;10.0;10.0;10.0;10.0;10.0;10.0;0;0;0;2;1.15;1;0;1;1;1;0;1;0;0;1;0;0;1;1;1;1;0;1;0;1;1;0;1;0;1;1;0;0;0;0;1;0;0;0;0;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1
;0;1.0;1;1;1;3;1.0;0.0;2.0;100.0;0.0;0.0;1;0.0;1;1125;0;0;0;143;0;;;;;;;;0;0;0;1;;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;1;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
1.0;0;2.0;1;1;1;6;2.0;3.0;3.0;450.0;700.0;125.0;6;15.0;1;1125;30;60;90;365;38;92.0;9.0;9.0;10.0;10.0;9.0;9.0;0;0;0;1;0.89;0;0;1;1;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1
;0;1.0;1;1;1;2;1.0;1.0;1.0;120.0;0.0;40.0;1;30.0;1;6;0;0;27;302;17;95.0;10.0;10.0;10.0;10.0;10.0;10.0;0;0;0;1;2.45;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1
1.0;1;1.0;1;1;1;2;1.0;1.0;1.0;80.0;150.0;0.0;1;10.0;3;14;20;49;71;346;58;99.0;10.0;10.0;10.0;10.0;10.0;10.0;0;0;0;1;2.46;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0
1.0;1;5.0;1;1;1;2;1.0;1.0;1.0;60.0;150.0;25.0;1;0.0;2;7;22;42;42;100;173;97.0;10.0;10.0;10.0;10.0;9.0;10.0;0;1;1;5;4.73;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1
;0;1.0;1;1;1;2;1.0;1.0;1.0;90.0;0.0;0.0;1;0.0;3;1125;6;36;66;341;8;97.0;10.0;9.0;10.0;9.0;10.0;10.0;0;0;0;1;1.22;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1
0.98;1;6.0;1;1;1;4;1.0;1.0;1.0;150.0;100.0;40.0;1;0.0;2;365;6;19;49;324;32;97.0;10.0;10.0;10.0;10.0;10.0;9.0;0;1;1;6;1.55;0;0;1;0;1;0;0;0;0;1;0;0;0;1;1;0;1;0;0;1;1;0;1;0;1;0;1;0;0;0;1;1;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
1.0;1;1.0;1;1;1;2;1.0;1.0;1.0;95.0;0.0;15.0;2;15.0;3;7;0;0;0;153;181;97.0;10.0;10.0;10.0;10.0;10.0;10.0;0;1;0;1;3.33;0;0;0;1;1;1;0;0;1;1;1;1;1;1;1;0;1;0;0;1;1;0;1;0;1;0;0;0;1;0;1;1;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0
1.0;0;1.0;1;1;1;2;1.0;1.0;1.0;99.0;500.0;150.0;1;0.0;3;1125;21;21;21;229;8;97.0;10.0;10.0;9.0;10.0;10.0;9.0;0;0;0;1;0.98;0;0;0;1;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1
